Tag,SpeciesNam,DBH,treeXCoord,treeYCoord,treeID,i_mn_fr,h_max,i_mn_sn,i_mean,h_mn_sn,P50h,P90h,h_mean,h_75nrm,i_cv,i_p25,i_p50,i_iq,ndgi,src,si,b2norm,avi,rr,ndwi,ndvi,b4norm
"26391",Cinnamomum subavenium,65.200000000000003,754697.600010000052862,1597831.100009999936447,"957",156.158229338356477,30.609999999999999,217.834234234234231,103.818050139275769,24.364055855855856,20.283000000000001,27.699000000000002,18.556012367688023,0.825670435660986,83.760844225993395,30.000000000000000,78.000000000000000,142.000000000000000,-0.03439,3.09813,0.96668,0.23855,0.35655,7.72907,0.34885,0.77088,0.10349
"26415",Cinnamomum subavenium,50.399999999999999,754693.100010000052862,1597849.100009999936447,"968",170.365833099185153,30.042999999999999,230.862682771773677,118.862759012205501,23.347569612205977,21.503999999999998,27.402999999999999,18.704607720692593,0.866468450611166,82.081896161794106,33.000000000000000,91.000000000000000,163.000000000000000,-0.04631,3.37631,0.96803,0.21853,0.34663,7.57849,0.34655,0.76686,0.10537
"30052",Cinnamomum subavenium,67.000000000000000,754774.100010000052862,1597605.899990000063553,"408",138.039286575078336,37.475999999999999,201.946469248291578,89.540497031894560,31.034165148063781,28.795999999999999,35.323000000000000,25.198109065298322,0.877906821874750,88.041340279276881,23.000000000000000,63.000000000000000,117.000000000000000,-0.13319,3.35072,0.96632,0.26270,0.30391,5.45913,0.34255,0.69036,0.13843
"33304",Cinnamomum subavenium,68.700000000000003,754833.600010000052862,1597751.299989999970421,"875",135.855463559235403,31.599000000000000,198.239524702939349,89.313958323707439,23.408875547217011,21.753000000000000,28.364000000000001,19.821239107332627,0.799355548569632,85.389133784681817,25.000000000000000,67.000000000000000,109.000000000000000,-0.13028,4.33265,0.97293,0.15038,0.28459,6.01462,0.34951,0.71488,0.12847
"34278",Cinnamomum subavenium,54.600000000000001,754863.600010000052862,1597756.600009999936447,"885",115.101492537313433,31.102000000000000,155.008320215875870,79.825264234572117,24.845691027659097,23.565000000000001,27.637700000000002,21.724164081145585,0.833272041188321,80.429094435885133,27.000000000000000,66.000000000000000,87.000000000000000,-0.02562,3.12235,0.96273,0.30970,0.38059,7.85967,0.39913,0.77426,0.10194
"38196",Cinnamomum subavenium,51.799999999999997,754930.399989999947138,1597635.799989999970421,"1187",145.412881355932200,29.350999999999999,209.922966162706985,95.036351364381446,19.429928725701945,16.282000000000000,23.936000000000000,15.459214154854884,0.694101485652262,85.518983596269933,27.000000000000000,70.000000000000000,121.000000000000000,-0.09484,3.49704,0.97194,0.15969,0.27727,5.76221,0.26484,0.70424,0.13177
"42158",Cinnamomum subavenium,51.200000000000003,755019.400019999942742,1597577.100009999936447,"1591",147.532875722543366,23.998000000000001,205.835365853658544,100.997089300267788,18.105246341463413,16.641500000000001,21.149000000000001,14.215256141576436,0.814964139131877,82.118907923763061,31.000000000000000,78.000000000000000,130.000000000000000,-0.10629,4.36445,0.97087,0.20749,0.32600,7.09501,0.38365,0.75293,0.11232
"42160",Cinnamomum subavenium,54.500000000000000,755012.299989999970421,1597577.699999999953434,"1049",152.830888917229942,29.969999999999999,216.620634920634927,108.349953022236136,17.360727301587303,13.265000000000001,24.525400000000001,13.773966739743189,0.699568106312292,81.438052952435058,35.000000000000000,84.000000000000000,141.000000000000000,-0.11061,4.53751,0.97225,0.18865,0.31991,7.17039,0.37844,0.75521,0.11147
"42285",Cinnamomum subavenium,58.600000000000001,755021.500000000000000,1597692.799989999970421,"562",134.211195534191347,35.264000000000003,194.645058448459082,87.290925206245319,27.868151965993626,26.391999999999999,31.688800000000001,24.019979136837801,0.845702353405948,85.704445544315533,24.000000000000000,66.000000000000000,108.000000000000000,-0.20056,3.10833,0.97395,0.16798,0.23847,4.55225,0.20754,0.63979,0.16082
"45228",Cinnamomum subavenium,67.200000000000003,755077.000000000000000,1597642.500000000000000,"816",107.203281027104140,31.810000000000002,173.398058252427177,79.304125177809382,20.438101941747572,18.765999999999998,28.517400000000002,16.681618492176387,0.807827212072083,93.517219584747536,23.000000000000000,55.000000000000000,87.000000000000000,-0.15517,3.27257,0.97353,0.15508,0.26620,5.44510,0.23276,0.68969,0.13934
"45266",Cinnamomum subavenium,55.100000000000001,755070.799989999970421,1597683.700010000029579,"682",140.873185351690552,34.353000000000002,204.152023429179991,92.549263921484965,26.428873003194887,24.850999999999999,30.814000000000000,21.158019586089182,0.835899889797576,84.832557088483924,26.000000000000000,67.000000000000000,116.000000000000000,-0.14036,3.16320,0.97022,0.20688,0.30206,6.00225,0.28718,0.71438,0.12893
"46219",Cinnamomum subavenium,67.500000000000000,755103.000000000000000,1597564.800000000046566,"1081",122.280070754716988,29.344999999999999,218.643274853801159,91.268846729905135,12.990087719298247,13.282499999999999,23.097500000000000,11.992282076884674,0.691177859639180,99.531539743420652,27.000000000000000,63.000000000000000,92.000000000000000,,,,,,,,,
"16014",Eugenia cerasoides,59.600000000000001,754502.599999999976717,1597469.899999999906868,"571",194.846946284032384,35.052999999999997,276.726339428938104,137.066619081608366,24.780601539942253,22.658000000000001,30.695000000000000,19.181956162265049,0.759427532939573,82.389494487765518,39.000000000000000,100.000000000000000,185.000000000000000,-0.12016,2.80669,0.96690,0.25123,0.33359,6.48356,0.31720,0.73275,0.12093
